Type materiel 2;Type materiel 3;Type materiel 4;Type matériel;idtypemateriel;idsoustypemateriel;commentaire sur materiel;Millésime;codetype;Coderef;prix neuf € unité;prix moyen achat;unité;unité / an;charges fixes annuelle unité;charges fixes €/an;charges fixes €/unité de volume de travail annuel unité;charges fixes €/unité de volume de travail annuel;Réparations unité;Réparations €/unité de travail annuel;coût total unité;coût total € / unité de travail annuel;performance unité;performance;performance coût total unité;performance coût total €;données puissance 1 adéquate unité;données puissance 1 adéquate;données taux de charge moteur;donnees amortissement 1;donnees amortissement 2;donnees transport 1 unite;donnees transport 1;donnees transport 2 unite;donnees transport 2;donnees transport 3 unite;donnees transport 3;code matériel GES'TIM;masse (kg);durée de vie théorique -obsolescence constructeur- (années);Energie unité;Coût Energie / unité de travail;Energie coût total unité;Energie coût total  € / unité de travail annuel;coût total AVEC carburant € / unité de travail annuel;coût total unité sans carburant;coût total SANS carburant € / unité de travail annuel;carburant cout unité;carburant €/unité de travail;lubrifiant cout unité;lubrifiant €/unité de travail;pneus cout unité;pneus €/unité de travail;puissance ch ISO unité;puissance ch ISO;volume carter huile BV unité;volume carter huile BV;volume carter huile moteur unité;volume carter huile moteur;pneus AV taille;pneus AV prix €;pneus AV prix €;pneus AV durée vie unité;pneus AV durée vie;pneus AR taille;pneus AR prix unité;pneus AR prix;pneus AR durée vie unité;pneus AR durée vie;performance coût total AVEC CARBURANT €/h;performance coût total SANS CARBURANT €/h
Motoculteur 25 cv, essence,;2 Av et 2 Ar, Pdf,;Lanceur Automatique,;MOTOCULTEUR/Motoculteur 25 cv, essence, /2 Av et 2 Ar, Pdf, /Lanceur Automatique,;MOTOCULTEUR;Motoculteur 25 cv, essence, 2 Av et 2 Ar, Pdf, Lanceur Automatique,;;2015.0;1M1;1M11251;€;2700.0;he;200;€/an;332.740310273;€/h;1.66370155137;€/h;5.0;;;;;;;;;;;;;;;;;;;;;;;;;10.2852640514;€/h;6.76526405137;€/h;3.52;€/h;0.1015625;;;ch ISO;25.0;;;L;5.0;;;;;;;;;;;;
"Pivot Fixe 300 m, 5"", rotators, cercle complet,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,;monté , hors câble d'alim. Élect;"Pivot / Rampe/Pivot Fixe 300 m, 5"", rotators, cercle complet, /5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, /monté , hors câble d'alim. Élect";Pivot / Rampe;"Pivot Fixe 300 m, 5"", rotators, cercle complet, 5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, monté , hors câble d'alim. Élect;2015.0;IRRI0542;IRRI054200030000510000002;€;51500.0;m3;27500;€/an;3218.75;€/m3;0.117045454545;€/m3;0.117045454545;;;;;;;;;;;;;;;;;;GES3;0.0;20.0;;;€/m3;0.147954545455;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tête de récolte porteur VL;avec trieur et egreneur;;Vendange/Tête de récolte porteur VL /avec trieur et egreneur /;Vendange;Tête de récolte porteur VL avec trieur et egreneur 0;;2015.0;840;840500006;€;70000.0;ha;60;€/an;7471.04694818;€/ha;124.517449136;€/ha;34.29;€/ha;158.807449136;ha/h;0.7;€/h;111.165214395;;80.0;0.7;10.0;0.15;;;;;;;GES2;1500.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu;310 à 330 ch;320 ch;TRACTEURS CLASSIQUES/Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu/310 à 330 ch/320 ch;TRACTEURS CLASSIQUES;320 ch avec BV Continue;Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu;2015.0;11;1123272221;€;173600.0;heure;500;€/an;13696.5130855;€/h;27.3930261709;€/h;3.72;€/h;;;;;;;;0.5;14.0;0.09;;;;;;;GES1;11670.0;19.0;;;;;58.8757761709;€/h;35.9957761709;€/h;22.88;€/h;0.80275;€/h;4.08;ch ISO;320.0;L;145.0;L;28.0;600 70 30;1600.0;1600.0;;2500.0;710.70 42;;5600.0;;4000.0;;
Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série;310 à 330 ch;320 ch;TRACTEURS CLASSIQUES/Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série/310 à 330 ch/320 ch;TRACTEURS CLASSIQUES;320 ch BV Automatique;Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série;2015.0;11;1123242221;€;162700.0;heure;500;€/an;12836.5361694;€/h;25.6730723388;€/h;3.72;€/h;;;;;;;;0.5;14.0;0.09;;;;;;;GES1;11670.0;19.0;;;;;57.1558223388;€/h;34.2758223388;€/h;22.88;€/h;0.80275;€/h;4.08;ch ISO;320.0;L;145.0;L;28.0;600 70 30;1600.0;1600.0;;2500.0;710.70 42;;5600.0;;4000.0;;
Enjambeurs 4 RM avec cabine et porte outil;135 à 155 ch;145 ch - Enj. Cab + Porte outil;TRACTEUR SPECIALISE ENJAMBEUR/Enjambeurs 4 RM avec cabine et porte outil /135 à 155 ch /145 ch - Enj. Cab + Porte outil;TRACTEUR SPECIALISE ENJAMBEUR;145 ch Enjambeur;Enjambeurs 4 RM avec cabine et porte outil;2015.0;164;16414;€;148600.0;heure;500;€/an;11724.088966;€/h;23.448177932;€/h;2.33;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;3600.0;19.0;;;;;33.757646682;€/h;26.500396682;€/h;7.25725;€/h;0.32621875;€/h;0.396;ch ISO;145.0;L;60.0;L;11.0;335 20;220.0;220.0;;2500.0;11.2 R 32;;330.0;;3000.0;;
Arracheuse Charg. 350/400 ch;6 m3, 4 RM,;6 rangs;RECOLTEUSE BETTERAVES AUTOMOTRICE/Arracheuse Charg. 350/400 ch/6 m3, 4 RM, /6 rangs;RECOLTEUSE BETTERAVES AUTOMOTRICE;Arracheuse Charg. 350/400 ch6 m3, 4 RM,;Arracheuse Charg. 350/400 ch6 m3, 4 RM, 6 rangs;2015.0;82;82124006;€;210000.0;ha;300;€/an;28772.112;€/ha;95.90704;€/ha;30.8;€/ha;;ha/h;0.9;€/h;;;;0.55;7.0;0.2;;;;;;;GES2;19000.0;15.0;;;;;159.897665;€/ha;127.126831667;€/ha;32.7708333333;€/ha;0.419791666667;;;ch ISO;375.0;;;L;31.0;;;;;;;;;;;143.9078985;114.4141485
Intégrale Capcaité 25 - 35 m3;450/500 ch, 6 rangs,;;RECOLTEUSE BETTERAVES AUTOMOTRICE/Intégrale Capcaité 25 - 35 m3/450/500 ch, 6 rangs, /;RECOLTEUSE BETTERAVES AUTOMOTRICE;Intégrale Capcaité 25 - 35 m3450/500 ch, 6 rangs,;Intégrale Capcaité 25 - 35 m3450/500 ch, 6 rangs, 0;2015.0;82;8232470630;€;430000.0;ha;500;€/an;58914.3245714;€/ha;117.828649143;€/ha;32.8;€/ha;;ha/h;1.0;€/h;;;;0.55;7.0;0.2;;;;;;;GES2;25000.0;15.0;;;;;188.255524143;€/ha;150.896774143;€/ha;37.35875;€/ha;0.268125;;;ch ISO;475.0;;;L;33.0;;;;;;;;;;;188.255524143;150.896774143
Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPA;Tonne 21 m3 Standard;Rampe 24 m pendillards + DPA;EPANDEURS & ACCESSOIRES/Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPA/Tonne 21 m3 Standard /Rampe 24 m pendillards + DPA;EPANDEURS & ACCESSOIRES;21 m3 + rampe à pendillards24 M + dpa;Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPATonne 21 m3 Standard Rampe 24 m pendillards + DPA;2015.0;40;4.02300214723e+13;€;139400.0;Voy;750;€/an;16482.2589823;€/voy;21.9763453097;€/voy;2.3;€/voy;24.2763453097;Voy / h;2.0;€/h;48.5526906194;ch;230.0;0.4;7.0;0.15;m;24.0;m3;21.0;mn;10.0;GES5;12150.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPA;Tonne 21 m3 Standard;Rampe 24 m pendillards + DPA;EPANDEURS & ACCESSOIRES/Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPA/Tonne 21 m3 Standard /Rampe 24 m pendillards + DPA;EPANDEURS & ACCESSOIRES;21 m3 + rampe à pendillards24 M + dpa;Epandeur lisier 21 m3 Standard + Rampe Pendillards 24 m + DPATonne 21 m3 Standard Rampe 24 m pendillards + DPA;2015.0;40;4.02300214723e+13;€;139400.0;Voy;950;€/an;16482.2589823;€/voy;17.3497462971;€/voy;2.3;€/voy;19.6497462971;Voy / h;2.0;€/h;39.2994925942;ch;230.0;0.4;7.0;0.15;m;24.0;m3;21.0;mn;10.0;GES5;12150.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
