Type materiel 2;Type materiel 3;Type materiel 4;Type matériel;idtypemateriel;idsoustypemateriel;commentaire sur materiel;Millésime;codetype;Coderef;prix neuf € unité;prix moyen achat;unité;unité / an;charges fixes annuelle unité;charges fixes €/an;charges fixes €/unité de volume de travail annuel unité;charges fixes €/unité de volume de travail annuel;Réparations unité;Réparations €/unité de travail annuel;coût total unité;coût total € / unité de travail annuel;performance unité;performance;performance coût total unité;performance coût total €;données puissance 1 adéquate unité;données puissance 1 adéquate;données taux de charge moteur;donnees amortissement 1;donnees amortissement 2;donnees transport 1 unite;donnees transport 1;donnees transport 2 unite;donnees transport 2;donnees transport 3 unite;donnees transport 3;code matériel GES'TIM;masse (kg);durée de vie théorique -obsolescence constructeur- (années);Energie unité;Coût Energie / unité de travail;Energie coût total unité;Energie coût total  € / unité de travail annuel;coût total AVEC carburant € / unité de travail annuel;coût total unité sans carburant;coût total SANS carburant € / unité de travail annuel;carburant cout unité;carburant €/unité de travail;lubrifiant cout unité;lubrifiant €/unité de travail;pneus cout unité;pneus €/unité de travail;puissance ch ISO unité;puissance ch ISO;volume carter huile BV unité;volume carter huile BV;volume carter huile moteur unité;volume carter huile moteur;pneus AV taille;pneus AV prix €;pneus AV prix €;pneus AV durée vie unité;pneus AV durée vie;pneus AR taille;pneus AR prix unité;pneus AR prix;pneus AR durée vie unité;pneus AR durée vie;performance coût total AVEC CARBURANT €/h;performance coût total SANS CARBURANT €/h
Catégorie C = Catégorie B + relevage porte masses de série;180 à 200 ch;190 ch;TRACTEURS CLASSIQUES/Catégorie C = Catégorie B + relevage porte masses de série /180 à 200 ch/190 ch;TRACTEURS CLASSIQUES;190 ch BVSP + Rel AV;Catégorie C = Catégorie B + relevage porte masses de série;2015.0;11;1121922121;€;91900.0;heure;500;€/an;7250.6310631;€/h;14.5012621262;€/h;3.27;€/h;;;;;;;;0.5;14.0;0.09;;;;;;;GES1;7490.0;19.0;;;;;34.7273558762;€/h;21.1423558762;€/h;13.585;€/h;0.59109375;€/h;2.78;ch ISO;190.0;L;100.0;L;23.0;540 65 28;1600.0;1600.0;;2500.0;650.65 38;;3000.0;;4000.0;;
Chenillards;85 à 100 ch;90 ch;TRACTEUR SPECIALISE CHENILLARD/Chenillards/85 à 100 ch /90 ch;TRACTEUR SPECIALISE CHENILLARD;90 ch Chenillard;Chenillards;2015.0;154;15409;€;38100.0;heure;500;€/an;3005.97435804;€/h;6.01194871609;€/h;1.96;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;3400.0;19.0;;;;;14.5608549661;€/h;10.0563549661;€/h;4.5045;€/h;0.23440625;€/h;1.85;ch ISO;90.0;L;40.0;L;9.0;;3700.0;3700.0;;4000.0;;;0.0;;0.0;;
Chenillards;85 à 100 ch;90 ch;TRACTEUR SPECIALISE CHENILLARD/Chenillards/85 à 100 ch /90 ch;TRACTEUR SPECIALISE CHENILLARD;90 ch Chenillard;Chenillards;2015.0;154;15409;€;38100.0;heure;700;€/an;3675.080214;€/h;5.25011459143;€/h;1.96;€/h;;;;;;;;0.35;10.0;0.11;;;;;;;GES1;3400.0;19.0;;;;;13.7990208414;€/h;9.29452084143;€/h;4.5045;€/h;0.23440625;€/h;1.85;ch ISO;90.0;L;40.0;L;9.0;;3700.0;3700.0;;4000.0;;;0.0;;0.0;;
Semoir Direct Haut de Gamme;de 1,40/1,50 m,;pour implantation des couverts végétaux;Semoir Inter-Rang/Semoir Direct Haut de Gamme/de 1,40/1,50 m, /pour implantation des couverts végétaux;Semoir Inter-Rang;Semoir Direct Haut de Gammede 1,40/1,50 m, pour implantation des couverts végétaux;0.0;2015.0;350;3.50002400001e+13;€;15000.0;ha;120;€/an;1480.4697924;€/ha;12.33724827;€/ha;2.43;€/ha;14.76724827;ha/h;1.25;€/h;18.4590603375;ch;80.0;0.4;10.0;0.15;;;;;;;GES5;1000.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Semoir 4 rgs;Distribution mécanique;;SEMOIRS & ACCESSOIRES/Semoir 4 rgs /Distribution mécanique /;SEMOIRS & ACCESSOIRES;4 rgs Méca;Distribution mécanique 0;2015.0;30;305104111;€;4000.0;ha;55;€/an;345.66077995;€/ha;6.28474145364;€/ha;0.79;€/ha;7.07474145364;ha/h;0.8;€/h;5.65979316291;ch;80.0;0.4;10.0;0.15;;;;;;;GES5;600.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Semoir 4 rgs;Distribution mécanique;;SEMOIRS & ACCESSOIRES/Semoir 4 rgs /Distribution mécanique /;SEMOIRS & ACCESSOIRES;4 rgs Méca;Distribution mécanique 0;2015.0;30;305104111;€;4000.0;ha;70;€/an;345.66077995;€/ha;4.93801114214;€/ha;0.79;€/ha;5.72801114214;ha/h;0.8;€/h;4.58240891371;ch;80.0;0.4;10.0;0.15;;;;;;;GES5;600.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intégrale Capcaité 25 - 35 m3;450/500 ch, 6 rangs,;;RECOLTEUSE BETTERAVES AUTOMOTRICE/Intégrale Capcaité 25 - 35 m3/450/500 ch, 6 rangs, /;RECOLTEUSE BETTERAVES AUTOMOTRICE;Intégrale Capcaité 25 - 35 m3450/500 ch, 6 rangs,;Intégrale Capcaité 25 - 35 m3450/500 ch, 6 rangs, 0;2015.0;82;8232470630;€;430000.0;ha;400;€/an;58914.3245714;€/ha;147.285811429;€/ha;32.8;€/ha;;ha/h;1.0;€/h;;;;0.55;7.0;0.2;;;;;;;GES2;25000.0;15.0;;;;;217.779717679;€/ha;180.420967679;€/ha;37.35875;€/ha;0.33515625;;;ch ISO;475.0;;;L;33.0;;;;;;;;;;;217.779717679;180.420967679
Intégrale Capcaité 25 - 35 m3;450/500 ch, 6 rangs,;;RECOLTEUSE BETTERAVES AUTOMOTRICE/Intégrale Capcaité 25 - 35 m3/450/500 ch, 6 rangs, /;RECOLTEUSE BETTERAVES AUTOMOTRICE;Intégrale Capcaité 25 - 35 m3450/500 ch, 6 rangs,;Intégrale Capcaité 25 - 35 m3450/500 ch, 6 rangs, 0;2015.0;82;8232470630;€;430000.0;ha;600;€/an;58914.3245714;€/ha;98.1905409524;€/ha;32.8;€/ha;;ha/h;1.0;€/h;;;;0.55;7.0;0.2;;;;;;;GES2;25000.0;15.0;;;;;168.572728452;€/ha;131.213978452;€/ha;37.35875;€/ha;0.2234375;;;ch ISO;475.0;;;L;33.0;;;;;;;;;;;168.572728452;131.213978452
700 cc 50 - 55 cv;4 x 4 débrayable;;QUAD/700 cc 50 - 55 cv /4 x 4 débrayable/;QUAD;700 cc 50 - 55 cv;4 x 4 débrayable;2015.0;17;17205017;€;12000.0;heure;150;€/an;1120.98233985;€/h;7.473215599;€/h;3.35;€/h;;;;;;;;0.46;10.0;0.1;;;;;;;GES1;350.0;15.0;;;;;19.4437989323;;;€/h;7.68;€/h;0.10725;€/h;0.833333333333;ch ISO;45.0;;;L;3.0;8-12;125.0;125.0;;600.0;10-12;;125.0;;600.0;;
Trainé 5200 l  H G;rampe Alu 36 m;DPAE, Haut de Gamme Ttes options;PULVERISATEURS/Trainé 5200 l  H G /rampe Alu 36 m /DPAE, Haut de Gamme Ttes options;PULVERISATEURS;Trainé 5200 l  H G;rampe Alu 36 m DPAE, Haut de Gamme Ttes options;2015.0;60;6012527144;€;120600.0;ha;1400;€/an;11117.0445271;€/ha;7.94074609079;€/ha;1.21;€/ha;9.15074609079;ha/h;15.0;€/h;137.261191362;ch;150.0;0.4;10.0;0.12;m;36.0;litres;5200.0;min;15.0;GES4;4500.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trainé 5200 l  H G;rampe Alu 36 m;DPAE, Haut de Gamme Ttes options;PULVERISATEURS/Trainé 5200 l  H G /rampe Alu 36 m /DPAE, Haut de Gamme Ttes options;PULVERISATEURS;Trainé 5200 l  H G;rampe Alu 36 m DPAE, Haut de Gamme Ttes options;2015.0;60;6012527144;€;120600.0;ha;2500;€/an;11117.0445271;€/ha;4.44681781084;€/ha;1.21;€/ha;5.65681781084;ha/h;15.0;€/h;84.8522671626;ch;150.0;0.4;10.0;0.12;m;36.0;litres;5200.0;min;15.0;GES4;4500.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Automotrice 180 ch VE;;;MAV/Automotrice 180 ch VE //;MAV;Automotrice 180 ch VE 00;0.0;2015.0;840;840318003;€;187400.0;ha;140;€/an;17701.5787954;€/ha;126.439848538;€/ha;43.43;;;ha/h;0.5;€/h;;;;0.7;10.0;0.11;;;;;;;GES2;8500.0;18.0;;;;;205.905848538;€/ha;170.508241396;€/ha;36.036;€/ha;0.638392857143;;;ch ISO;180.0;;;L;22.0;;;;;;;;;;;102.952924269;85.2541206978
Semoir Direct Haut de Gamme;de 1,40/1,50 m,;pour implantation des couverts végétaux;Semoir Inter-Rang/Semoir Direct Haut de Gamme/de 1,40/1,50 m, /pour implantation des couverts végétaux;Semoir Inter-Rang;Semoir Direct Haut de Gammede 1,40/1,50 m, pour implantation des couverts végétaux;0.0;2015.0;350;3.50002400001e+13;€;15000.0;ha;150;€/an;1480.4697924;€/ha;9.86979861602;€/ha;2.43;€/ha;12.299798616;ha/h;1.25;€/h;15.37474827;ch;80.0;0.4;10.0;0.15;;;;;;;GES5;1000.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pulvé à jets projetés VE;6 rgs  - porté;;Pulvérisateur Vigne/Pulvé à jets projetés VE /6 rgs  - porté /;Pulvérisateur Vigne;Pulvé à jets projetés VE 6 rgs  - porté 0;0.0;2015.0;602;60210001903;€;11750.0;ha;185;€/an;1159.70133738;€/ha;6.26865587775;€/ha;1.03;€/ha;7.29865587775;ha/h;1.5;€/h;10.9479838166;ch;60.0;0.4;10.0;0.15;;;;;;;GES4;200.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pulvé à jets projetés VE;6 rgs  - porté;;Pulvérisateur Vigne/Pulvé à jets projetés VE /6 rgs  - porté /;Pulvérisateur Vigne;Pulvé à jets projetés VE 6 rgs  - porté 0;0.0;2015.0;602;60210001903;€;11750.0;ha;250;€/an;1159.70133738;€/ha;4.63880534953;€/ha;1.03;€/ha;5.66880534953;ha/h;1.5;€/h;8.5032080243;ch;60.0;0.4;10.0;0.15;;;;;;;GES4;200.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tête de récolte porteur VL;avec trieur et egreneur;;Vendange/Tête de récolte porteur VL /avec trieur et egreneur /;Vendange;Tête de récolte porteur VL avec trieur et egreneur 0;0.0;2015.0;840;840500006;€;70000.0;ha;100;€/an;7471.04694818;€/ha;74.7104694818;€/ha;34.29;€/ha;109.000469482;ha/h;0.7;€/h;76.3003286373;;80.0;0.7;10.0;0.15;;;;;;;GES2;1500.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ensileuse;400 ch;2 RM, 6 rangs rotatifs;ENSILEUSES/Ensileuse /400 ch /2 RM, 6 rangs rotatifs;ENSILEUSES;Ensileuse 400 ch 2 RM, 6 rangs rotatifs;;2015.0;707;7071043;€;236100.0;ha;350;€/an;29568.4915761;€/ha;84.4814045032;€/ha;31.81;€/ha;;ha/h;2.0;€/h;;;;0.7;7.0;0.15;;;;;;;GES2;13000.0;18.0;;;;;136.193940218;€/ha;116.674440218;€/ha;19.5195;€/ha;0.383035714286;;;ch ISO;390.0;;;L;33.0;;;;;;;;;;;272.387880435;233.348880435
Mélangeuse Automotrice;14 m3 - 160 ch;fraise de chargement;DISTRIB FOURRAGE AUTOMOTRICE/Mélangeuse Automotrice /14 m3 - 160 ch  /fraise de chargement;DISTRIB FOURRAGE AUTOMOTRICE;Mélangeuse Automotrice 14 m3 - 160 ch;Mélangeuse Automotrice 14 m3 - 160 ch  fraise de chargement;2015.0;904;90401416;€;150900.0;h;800;€/an;20674.8176229;€/h;25.8435220286;€/h;10.67;€/h;;;;;;;;0.5;7.0;0.2;;;;;;;GES2;12000.0;13.0;;;;;48.1566470286;€/h;36.7166470286;€/h;11.44;€/h;0.203125;;;ch ISO;160.0;;;L;20.0;;;;;;;;;;;;
Hérissons Horizontaux;6 t / 8 m3;1 essieu;EPANDEURS & ACCESSOIRES/Hérissons Horizontaux /6 t / 8 m3 /1 essieu;EPANDEURS & ACCESSOIRES;6 t Horizontaux;Hérissons Horizontaux 6 t / 8 m3 1 essieu;2015.0;40;40110608;€;13200.0;Voy;200;€/an;1560.73040578;€/voy;7.80365202891;€/voy;0.728;€/voy;8.53165202891;Voy / h;2.0;€/h;34.1266081156;ch;70.0;0.4;7.0;0.15;m;4.0;m3;8.0;mn;;GES5;2500.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intercep Hydraulique VL;avec cadre;et centrale hydraulique;Interceps/Intercep Hydraulique VL /avec cadre /et centrale hydraulique;Interceps;Intercep Hydraulique VL avec cadre et centrale hydraulique;0.0;2015.0;225;2.25810014036e+12;€;10500.0;ha;55;€/an;1036.32885468;€/ha;18.8423428124;€/ha;4.6;€/ha;23.4423428124;ha/h;0.8;€/h;18.7538742499;ch;80.0;0.4;10.0;0.15;;;;;;;GES3;250.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herse Plate Légère;5 compartiments;4 m pliage manuel;HERSES/Herse Plate Légère /5 compartiments /4 m pliage manuel;HERSES;Herse Plate Légère;5 compartiments 4 m pliage manuel;2015.0;205;205207;€;1500.0;ha;80;€/an;129.622792481;€/ha;1.62028490602;€/ha;0.636;€/ha;2.25628490602;ha/h;2.5;€/h;5.64071226504;ch;80.0;0.8;10.0;0.15;;;;;;;GES3;550.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotative 1,65 m;4 disques;;FAUCHEUSES/Rotative 1,65 m /4 disques /;FAUCHEUSES;Rotative 1,65 m;Rotative 1,65 m 4 disques;2015.0;701;701205;€;4050.0;ha;30;€/an;478.86046541;€/ha;15.9620155137;€/ha;2.77;€/ha;18.7320155137;ha/h;0.8;€/h;14.9856124109;ch;70.0;0.4;7.0;0.15;;;;;;;GES3;400.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotative 1,65 m;4 disques;;FAUCHEUSES/Rotative 1,65 m /4 disques /;FAUCHEUSES;Rotative 1,65 m;Rotative 1,65 m 4 disques;2015.0;701;701205;€;4050.0;ha;40;€/an;478.86046541;€/ha;11.9715116353;€/ha;2.77;€/ha;14.7415116353;ha/h;0.8;€/h;11.7932093082;ch;70.0;0.4;7.0;0.15;;;;;;;GES3;400.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charrue décavaillonneuse VE;mécanique;1 rg complet - 2 corps;Charrue/Charrue décavaillonneuse VE /mécanique /1 rg complet - 2 corps;Charrue;Charrue décavaillonneuse VE mécanique 1 rg complet - 2 corps;0.0;2015.0;202;2.02710003013e+11;€;4000.0;ha;22.5;€/an;394.791944641;€/ha;17.5463086507;€/ha;5.75;€/ha;23.2963086507;ha/h;0.5;€/h;11.6481543254;ch;70.0;0.4;10.0;0.15;;;;;;;GES3;200.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Télescopique;90 ch;;CHARIOTS TELESCOPIQUES/Télescopique /90 ch /;CHARIOTS TELESCOPIQUES;Télesco 90 ch;Télescopique 90 ch 0;2015.0;108;108209;€;53700.0;h;700;€/an;6617.83505988;€/h;9.45405008555;€/h;4.01;€/h;5.148;;;;;;;0.4;7.0;0.2;;;;;;;GES1;6200.0;19.0;;;;;18.7085344605;;;;;€/h;0.096484375;;;ch ISO;90.0;;;L;9.5;;;;;;;;;;;;
Axe horizontal;fleaux  6 m;;BROYEURS/Axe horizontal /fleaux  6 m /;BROYEURS;Axe Horizontal 6 m;Axe horizontal fleaux  6 m 0;2015.0;511;511211;€;23000.0;ha;175;€/an;3036.23131429;€/ha;17.3498932245;€/ha;3.93;€/ha;21.2798932245;ha/h;2.5;€/h;53.1997330612;ch;150.0;0.8;7.0;0.2;;;;;;;GES3;2300.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benne 6 tonnes;1 essieu;;BENNES/Benne 6 tonnes /1 essieu /;BENNES;Benne 6 tonnes;Benne 6 tonnes 1 essieu;2015.0;9011;9011060001;€;6220.0;h;150;€/an;362.438125246;€/h;2.41625416831;€/h;0.667;€/h;3.08325416831;t/benne;6.0;€/t;0.513875694718;ch;70.0;0.4;15.0;0.1;;;;;;;GES5;1850.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catégorie TGT : Très Gros Tracteur;Tracteur à chassis fixe 350 ch,;4 roues égales, BV continue,;TARCTEURS CLASSIQUES/Catégorie TGT : Très Gros Tracteur/Tracteur à chassis fixe 350 ch,  /4 roues égales, BV continue,;TARCTEURS CLASSIQUES;4 roues égales, BV continue,;Catégorie TGT : Très Gros Tracteur;2015.0;11;11835;€;228700.0;heure;900;€/an;24864.6913601;€/h;27.6274348445;€/h;3.72;€/h;;;;;;;;0.5;8.0;0.12;;;;;;;GES1;12900.0;19.0;;;;;61.6133723445;€/h;36.5883723445;€/h;25.025;€/h;0.8409375;€/h;4.4;ch ISO;350.0;L;150.0;L;30.0;650 65 42;4400.0;4400.0;;4000.0;650.65 42;;4400.0;;4000.0;;
Catégorie TGT : Très Gros Tracteur;Tracteur à chassis fixe 350 ch,;4 roues égales, BV continue,;TARCTEURS CLASSIQUES/Catégorie TGT : Très Gros Tracteur/Tracteur à chassis fixe 350 ch,  /4 roues égales, BV continue,;TARCTEURS CLASSIQUES;4 roues égales, BV continue,;Catégorie TGT : Très Gros Tracteur;2015.0;11;11835;€;228700.0;heure;700;€/an;22060.1271638;€/h;31.5144673769;€/h;3.72;€/h;;;;;;;;0.5;10.0;0.11;;;;;;;GES1;12900.0;19.0;;;;;65.5004048769;€/h;40.4754048769;€/h;25.025;€/h;0.8409375;€/h;4.4;ch ISO;350.0;L;150.0;L;30.0;650.65 42;4400.0;4400.0;;4000.0;650.65 42;;4400.0;;4000.0;;
Chenillettes;30 ch - porte outil;sans équipement;TRACTEUR SPECIALISE CHENILLETTES/Chenillettes/30 ch - porte outil /sans équipement;TRACTEUR SPECIALISE CHENILLETTES;Chenilletes 30 ch;30 ch - porte outil sans équipement;2015.0;159;15903;€;28000.0;heure;60;€/an;1827.55426156;€/h;30.4592376926;€/h;1.96;€/h;;;;;;;;0.35;15.0;0.07;;;;;;;GES1;3400.0;19.0;;;;;39.6136439426;€/h;34.1536439426;€/h;5.46;€/h;0.23440625;€/h;1.5;ch ISO;30.0;L;5.0;L;5.0;;3000.0;3000.0;;4000.0;;;0.0;;0.0;;
Arracheuse Charg. 350/400 ch;6 m3, 4 RM,;6 rangs;RECOLTEUSE BETTERAVES AUTOMOTRICE/Arracheuse Charg. 350/400 ch/6 m3, 4 RM, /6 rangs;RECOLTEUSE BETTERAVES AUTOMOTRICE;Arracheuse Charg. 350/400 ch6 m3, 4 RM,;Arracheuse Charg. 350/400 ch6 m3, 4 RM, 6 rangs;2015.0;82;82124006;€;210000.0;ha;200;€/an;28772.112;€/ha;143.86056;€/ha;30.8;€/ha;;ha/h;0.9;€/h;;;;0.55;7.0;0.2;;;;;;;GES2;19000.0;15.0;;;;;208.061080833;€/ha;175.2902475;€/ha;32.7708333333;€/ha;0.6296875;;;ch ISO;375.0;;;L;31.0;;;;;;;;;;;187.25497275;157.76122275
Trainé 5200 l  H G;rampe Alu 36 m;DPAE, Haut de Gamme Ttes options;PULVERISATEURS/Trainé 5200 l  H G /rampe Alu 36 m /DPAE, Haut de Gamme Ttes options;PULVERISATEURS;Trainé 5200 l  H G;rampe Alu 36 m DPAE, Haut de Gamme Ttes options;2015.0;60;6012527144;€;120600.0;ha;1900;€/an;11117.0445271;€/ha;5.8510760669;€/ha;1.21;€/ha;7.0610760669;ha/h;15.0;€/h;105.916141003;ch;150.0;0.4;10.0;0.12;m;36.0;litres;5200.0;min;15.0;GES4;4500.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Semoir Direct Haut de Gamme;de 1,40/1,50 m,;pour implantation des couverts végétaux;Semoir Inter-Rang/Semoir Direct Haut de Gamme/de 1,40/1,50 m, /pour implantation des couverts végétaux;Semoir Inter-Rang;Semoir Direct Haut de Gammede 1,40/1,50 m, pour implantation des couverts végétaux;;2015.0;350;3.50002400001e+13;€;15000.0;ha;90;€/an;1480.4697924;€/ha;16.44966436;€/ha;2.43;€/ha;18.87966436;ha/h;1.25;€/h;23.5995804501;ch;80.0;0.4;10.0;0.15;;;;;;;GES5;1000.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vibreur / Récepteur Cerise;Remorque Recep.;50 ch. Hydraulique;RECOLTEUSES FRUITS/Vibreur / Récepteur Cerise/Remorque Recep./50 ch. Hydraulique;RECOLTEUSES FRUITS;Vibreur / Récepteur CeriseRemorque Recep.50 ch. Hydraulique;0.0;2015.0;861;8.61201000006e+11;€;54770.0;he;150;€/an;6749.69881247;€/h;44.9979920832;€/h;4.5;;;;;;;;;;;;;;;;;;;;;;;;;54.5029920832;€/h;49.6334087498;€/h;5.005;€/h;0.135416666667;;;ch ISO;50.0;;;L;5.0;;;;;;;;;;;;
Pulvé à jets projetés VE;6 rgs  - porté;;Pulvérisateur Vigne/Pulvé à jets projetés VE /6 rgs  - porté /;Pulvérisateur Vigne;Pulvé à jets projetés VE 6 rgs  - porté 0;;2015.0;602;60210001903;€;11750.0;ha;120;€/an;1159.70133738;€/ha;9.66417781152;€/ha;1.03;€/ha;10.6941778115;ha/h;1.5;€/h;16.0412667173;ch;60.0;0.4;10.0;0.15;;;;;;;GES4;200.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prétailleuse 1rgs  pour vigne à gobelet 0;;;Prétailleuse/Prétailleuse 1rgs  pour vigne à gobelet 0//;Prétailleuse;Prétailleuse 1rgs  pour vigne à gobelet;;2015.0;540;5401001;€;4750.0;ha;30;€/an;507.0;€/ha;16.9;€/ha;25.0;€/ha;41.9;ha/h;0.0;€/h;0.0;ch;70.0;0.4;10.0;0.15;;;;;;;GES3;180.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable;2 RM - 76 à 85 ch;80 ch - Vigne & Verger;TRACTEURS SPECIALISES 2RM/Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable/2 RM - 76 à 85 ch /80 ch - Vigne & Verger;TRACTEURS SPECIALISES 2RM;80 ch - Vigne & Verger;Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable;2015.0;121;12108;€;30800.0;heure;700;€/an;2970.93098665;€/h;4.24418712378;€/h;1.06;€/h;;;;;;;;0.35;10.0;0.11;;;;;;;GES1;2400.0;19.0;;;;;9.37992670712;€/h;5.94792670712;€/h;3.432;€/h;0.23440625;€/h;0.409333333333;ch ISO;80.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Catégorie B = Catégorie A + suspension du pont avant de série;96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Catégorie B = Catégorie A + suspension du pont avant de série /96 à 105 ch/100 ch;TRACTEURS CLASSIQUES;100 ch BVSP + pont AV suspendu;Catégorie B = Catégorie A + suspension du pont avant de série;2015.0;11;1121022021;€;54200.0;heure;500;€/an;4276.21549097;€/h;8.55243098194;€/h;2.22;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;4200.0;19.0;;;;;17.2769830653;€/h;12.2719830653;€/h;5.005;€/h;0.32621875;€/h;1.17333333333;ch ISO;100.0;L;60.0;L;11.0;360 70 24;800.0;800.0;;3000.0;480 70 34;;1600.0;;5000.0;;
Tracteurs Spécialisés Vigne 4 RM avec cabine confort;96 à 105 ch;100 ch - Vigne;TRACTEURS SPECIALISES 4RM VIGNE/Tracteurs Spécialisés Vigne 4 RM avec cabine confort/96 à 105 ch /100 ch - Vigne;TRACTEURS SPECIALISES 4RM VIGNE;100 ch Vigne;Tracteurs Spécialisés Vigne 4 RM avec cabine confort;2015.0;132;13210;€;44100.0;heure;500;€/an;3479.35614671;€/h;6.95871229343;€/h;1.44;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;3000.0;19.0;;;;;14.0474518768;€/h;9.04245187676;€/h;5.005;€/h;0.23440625;€/h;0.409333333333;ch ISO;100.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Catégorie TGT : Très Gros Tracteur;Tracteur à chassis fixe 350 ch,;4 roues égales, BV continue,;TARCTEURS CLASSIQUES/Catégorie TGT : Très Gros Tracteur/Tracteur à chassis fixe 350 ch,  /4 roues égales, BV continue,;TARCTEURS CLASSIQUES;4 roues égales, BV continue,;Catégorie TGT : Très Gros Tracteur;2015.0;11;11835;€;228700.0;heure;500;€/an;18043.7358447;€/h;36.0874716895;€/h;3.72;€/h;;;;;;;;0.5;14.0;0.09;;;;;;;GES1;12900.0;19.0;;;;;70.0734091895;€/h;45.0484091895;€/h;25.025;€/h;0.8409375;€/h;4.4;ch ISO;350.0;L;150.0;L;30.0;650.65 42;4400.0;4400.0;;4000.0;650.65 42;;4400.0;;4000.0;;
MB 250 à 290 ch H G;5 secoueurs + BV hydro;Coupe 6 m Variable;MOISSONNEUSES-BATTEUSES/MB 250 à 290 ch H G /5 secoueurs + BV hydro /Coupe 6 m Variable;MOISSONNEUSES-BATTEUSES;Coupe de 5,6 à 6,5 m + chariot 5 secoueurs;MB 250 à 290 ch H G 5 secoueurs + BV hydro Coupe 6 m Variable;2015.0;801;8015110921;€;202000.0;ha;250;€/an;15791.4992764;€/ha;63.1659971056;€/ha;13.85;€/ha;;ha/h;1.8;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;15400.0;18.0;;;;;92.4372471056;€/ha;77.4222471056;;15.015;€/ha;0.40625;;;ch ISO;270.0;;;L;25.0;;;;;;;;;;;166.38704479;139.36004479
Automotrice 180 ch VE;;;MAV/Automotrice 180 ch VE //;MAV;Automotrice 180 ch VE 00;;2015.0;840;840318003;€;187400.0;ha;60;€/an;17701.5787954;€/ha;295.026313256;€/ha;43.43;;;ha/h;0.5;€/h;;;;0.7;10.0;0.11;;;;;;;GES2;8500.0;18.0;;;;;374.492313256;€/ha;339.94589659;€/ha;36.036;€/ha;1.48958333333;;;ch ISO;180.0;;;L;22.0;;;;;;;;;;;187.246156628;169.972948295
Passerelle diesel 30 ch;2 RM hauteur de 1,1 à 2,1 m;de 4 à 6 postes;PASSERELLE LEGUMES/Passerelle diesel 30 ch /2 RM hauteur de 1,1 à 2,1 m /de 4 à 6 postes;PASSERELLE LEGUMES;Passerelle diesel 30 ch 2 RM hauteur de 1,1 à 2,1 m de 4 à 6 postes;0.0;2015.0;980;9.80330302106e+11;€;19410.0;he;250;€/an;2392.03311941;€/h;9.56813247764;€/h;3.1;;;;;;;;;;;;;;;;;;;;;;;;;15.6711324776;€/h;12.7493824776;€/h;3.003;€/h;0.08125;;;ch ISO;30.0;;;L;5.0;;;;;;;;;;;;
Intercep Hydraulique VL;avec cadre;et centrale hydraulique;Interceps/Intercep Hydraulique VL /avec cadre /et centrale hydraulique;Interceps;Intercep Hydraulique VL avec cadre et centrale hydraulique;;2015.0;225;2.25810014036e+12;€;10500.0;ha;25;€/an;1036.32885468;€/ha;41.4531541873;€/ha;4.6;€/ha;46.0531541873;ha/h;0.8;€/h;36.8425233498;ch;80.0;0.4;10.0;0.15;;;;;;;GES3;250.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
